parameter	median	err_up	err_down
lam_p1	0.012875567981652125	2.0297396332071713	1.964156345524671
vsini_star	19.936546297711395	1.4398804722739094	1.334843956692879
per_p1	18.09536734188075	9.101499731656304e-06	9.034541271546459e-06
t0_p1	2458529.3277113168	0.0006231334991753101	0.000626950990408659
rho_star	399.91237675031886	16.91595185739976	16.31101820549577
b_p1	0.5630676493394381	0.03820295308027577	0.0398127663727853
p_p1	0.06998359740187973	0.0009819564395351366	0.0010077128987383
e_p1	0.7190011266676684	0.013207900903510539	0.013681496968450557
omega_p1	60.37731786191533	7.2394465389892275	6.5007491558704515
q1_ESPRESSO	0.39799591802897416	0.2906886033662458	0.20895846329377804
q2_ESPRESSO	0.3322485232697152	0.358517940823715	0.23233603420100565
beta_ESPRESSO	7.9024898512703565	1.8795655675365417	1.9329918448241514
gamma_ESPRESSO	0.5341947822626967	1.4812614895174292	1.4672711184276759
K_p1	0.0		
sigma_ESPRESSO	0.0		
gammadot	0.0		
gammadotdot	0.0		
u1_ESPRESSO	0.39846338508273904	0.33890840135679834	0.2692298102169254
u2_ESPRESSO	0.19644890174424073	0.375270009288413	0.3778278521729108
aRs_p1	19.05842967255987	0.2650174014653288	0.26271574427585875
inc_p1	84.31571336931063	0.3152623053852892	0.3232027537420521
