time,data,error,instrument,type
2458387.45415791,1.0041913364773776,0.0027026101,TESSY1,LC
2458387.45554683,0.9975544386280344,0.0027068921,TESSY1,LC
2458387.4569357503,0.9996832593729772,0.0027011582,TESSY1,LC
2458387.4583246703,1.0003140786524605,0.0027036665,TESSY1,LC
2458387.459713591,0.9961800065390451,0.0027024618,TESSY1,LC
2458387.461102512,1.001385032993099,0.0027017875,TESSY1,LC
2458387.462491432,1.0009701079906583,0.0027011675,TESSY1,LC
2458387.463880352,1.002653681595581,0.0027053377,TESSY1,LC
2458387.465269272,1.0039175538454863,0.0027047039,TESSY1,LC
2458387.4666581927,1.0028779246433088,0.0027029442,TESSY1,LC
2458387.4680471127,1.0006195940580094,0.002705232,TESSY1,LC
2458387.469436033,0.9973850720986946,0.0027017568,TESSY1,LC
2458387.4708249536,0.9942233087190858,0.0026989938,TESSY1,LC
2458387.472213874,0.9968994539960508,0.0026995621,TESSY1,LC
2458387.473602794,1.0055098578513435,0.0027069401,TESSY1,LC
2458387.4749917146,1.0034887203696383,0.0027006904,TESSY1,LC
2458387.476380635,1.0031139814767145,0.0027054555,TESSY1,LC
2458387.477769555,0.9954370112304342,0.002698937,TESSY1,LC
2458387.4791584755,1.002001899648231,0.0027029871,TESSY1,LC
2458387.480547396,0.9961298866671148,0.0027023682,TESSY1,LC
2458387.481936316,1.002960912388347,0.0027028767,TESSY1,LC
2458387.483325236,1.0004613667115343,0.0027037484,TESSY1,LC
2458387.4847141565,0.9980925296775672,0.0027046427,TESSY1,LC
2458387.486103077,1.0010977713458211,0.0027072539,TESSY1,LC
2458387.487491997,1.0031871216439765,0.0027053221,TESSY1,LC
2458387.4888809174,1.0031918706372518,0.0027079426,TESSY1,LC
2458387.490269838,1.0008373182709334,0.0027023966,TESSY1,LC
2458387.491658758,1.000996464585779,0.0027030413,TESSY1,LC
2458387.4930476784,1.00049430959194,0.0027002278,TESSY1,LC
2458387.4944365984,0.9989546832594772,0.0027002848,TESSY1,LC
2458387.495825519,1.0008892956221955,0.0027037736,TESSY1,LC
2458387.49721444,0.9967925266575628,0.0027027025,TESSY1,LC
2458387.49860336,0.9996105763627038,0.0027025114,TESSY1,LC
2458387.49999228,1.0000714947524192,0.0027041831,TESSY1,LC
2458387.5013812,1.0019268518303637,0.0027076013,TESSY1,LC
2458387.5027701203,0.9958981976230572,0.0026991749,TESSY1,LC
2458387.5041590407,0.997717922072916,0.0027006804,TESSY1,LC
2458387.5055479608,0.9964507752842112,0.0026992031,TESSY1,LC
2458387.5069368808,1.0025380871455178,0.0027091529,TESSY1,LC
2458387.508325801,1.0087867177038938,0.0027066276,TESSY1,LC
2458387.509714721,0.999828177009936,0.0027045049,TESSY1,LC
2458387.5111036417,0.9970219750407268,0.0027017186,TESSY1,LC
2458387.5124925617,1.0028038017787804,0.002701832,TESSY1,LC
2458387.513881482,1.0003515272681605,0.0027024932,TESSY1,LC
2458387.515270402,0.9959515514654114,0.0026992031,TESSY1,LC
2458387.5166593227,0.9922672444169583,0.0027030038,TESSY1,LC
2458387.518048243,0.9981164060613632,0.0027000615,TESSY1,LC
2458387.519437163,0.9944664964597008,0.0026992224,TESSY1,LC
