parameter	median	err_up	err_down
lam_p1	2.3977719227231375	2.1139481351320626	2.03017909281445
vsini_star	19.531497746628286	1.4644657873885052	1.3860910083773454
per_p1	18.095369934915635	9.004910559440304e-06	9.117734837360558e-06
t0_p1	2458529.3278161343	0.0005891099572181702	0.0006145020015537739
rho_star	399.64226419550687	16.818266039600815	15.809418529102174
b_p1	0.5616593112062049	0.038789204152975265	0.038340216435834185
p_p1	0.06994058996325929	0.0009744728312944817	0.0010379436467542885
e_p1	0.7209899235876207	0.01324216275268053	0.014010170598935279
omega_p1	61.686974021982806	6.922002589840474	6.7889195126222575
q1_ESPRESSO	0.3537805836611151	0.29575178964932913	0.18633107811141064
q2_ESPRESSO	0.4033106126712212	0.358055233849861	0.2761012641774212
beta_ESPRESSO	7.736528878596027	1.8940486420284506	1.858988065685498
gamma_ESPRESSO	1.2594792254433032	1.4979677259439648	1.4854778285727905
K_p1	0.0		
sigma_ESPRESSO	0.0		
gammadot	0.0		
gammadotdot	0.0		
u1_ESPRESSO	0.448605603608181	0.35474038702243194	0.29676415265981126
u2_ESPRESSO	0.10369539152744041	0.3957177387563909	0.3491174714550323
aRs_p1	19.054142292035937	0.26361434878355183	0.2546474160622054
inc_p1	84.25459412294862	0.3311895405121277	0.3158747947661027
