parameter	median	err_up	err_down
lam_p1	-76.2976877319613	16.758974067148486	15.151845347676826
vsini_star	0.7092515815360245	0.2859018361721499	0.24797255185961203
per_p1	5.92426976108067	9.206216571300274e-07	8.903247952218862e-07
t0_p1	2456870.958265476	0.00028330134227871895	0.0002884254790842533
rho_star	2253.656873847667	134.2845710577526	128.38760058152457
b_p1	0.4744382744374857	0.059080305280903744	0.09082145601894098
p_p1	0.10093773692802291	0.0013683564741556048	0.001760043936231609
e_p1	0.27181153694738164	0.03707389443194559	0.03627884841895998
omega_p1	194.9089532952736	7.958113563771633	9.318861992144889
K_p1	18.740934639573183	2.410339842656871	2.3481413017292425
q1_TESSY1_TESSY2	0.3339837011730238	0.20235190575682815	0.1333920972568981
q2_TESSY1_TESSY2	0.29553139015846414	0.2771557520810953	0.17604271619949047
gamma_HARPS	-13010.50950199941	1.6140475189222343	1.5651409264464746
q1_ESPRESSO	0.5804841795923967	0.29153303445045065	0.352209297585841
q2_ESPRESSO	0.4347188853765156	0.353244325201419	0.30010878286910114
beta_ESPRESSO	5.169683576584297	2.03492975607372	1.902306148686443
gamma_ESPRESSO	-12999.312587113001	1.0045947881862958	0.5134416666896868
sigma_TESSY1	0.0		
sigma_TESSY2	0.0		
sigma_HARPS	0.0		
sigma_ESPRESSO	0.0		
gammadot	0.0		
gammadotdot	0.0		
u1_TESSY1	0.34756335599508925	0.17730936708899736	0.17898330995324216
u2_TESSY1	0.24016841019621643	0.3016490834016831	0.30530038537797344
u1_TESSY2	0.34756335599508925	0.17730936708899736	0.17898330995324216
u2_TESSY2	0.24016841019621643	0.3016490834016831	0.30530038537797344
u1_ESPRESSO	0.5635079100652803	0.6093108293893305	0.40223027515917065
u2_ESPRESSO	0.07618898532397861	0.44192421401260623	0.4697986640786536
aRs_p1	16.110410333625314	0.3138250724524134	0.31193067275629716
inc_p1	88.31124787319526	0.27283515577961737	0.17597165225551237
