parameter	median	err_up	err_down
lam_p1	-77.05313961425233	14.577089202140712	13.102627004283661
r_star	0.8101390858127855	0.0076566286019223995	0.008065990229266906
m_star	0.8401445617136428	0.028502642091446262	0.027682893536164488
Prot_star	29.966684971764508	1.0115570108439123	0.9412275039919145
cosi_star	0.7878094088186433	0.11835740796003114	0.2645181733211007
per_p1	5.924269750880067	8.64568362679563e-07	8.67081923594526e-07
t0_p1	2456870.9582484276	0.0002850559540092945	0.00028149737045168877
b_p1	0.4593140424782813	0.06673454634141479	0.09168747773804109
p_p1	0.10055710674504993	0.0016077211345974923	0.0018197034585034633
sesinomega_p1	-0.11771161313921263	0.07970501077645276	0.0715424162173448
secosomega_p1	-0.5052782095772582	0.03478527032669898	0.0299140133239163
K_p1	19.194869715304097	2.3204920542008622	2.274062830299531
q1_TESSY1_TESSY2	0.3722201861826601	0.24674012226267067	0.16632550913011304
q2_TESSY1_TESSY2	0.258601829645846	0.3052821023822485	0.16097247788706465
gamma_HARPS	-13010.390321887986	1.5026733695231087	1.55359147179297
q1_ESPRESSO	0.501374296311803	0.32517374359535256	0.315529518820087
q2_ESPRESSO	0.558996197994852	0.30168377690440895	0.36231151527605837
beta_ESPRESSO	4.990977945528205	1.8797072509268888	1.758345801666911
gamma_ESPRESSO	-12999.326473812805	0.8937357097875065	0.505004554595871
sigma_TESSY1	0.0		
sigma_TESSY2	0.0		
sigma_HARPS	0.0		
sigma_ESPRESSO	0.0		
gammadot	0.0		
gammadotdot	0.0		
u1_TESSY1	0.3213462813613437	0.1999194144926456	0.17256001134363166
u2_TESSY1	0.29412960955478973	0.3286399072074919	0.3529890126567667
u1_TESSY2	0.3213462813613437	0.1999194144926456	0.17256001134363166
u2_TESSY2	0.29412960955478973	0.3286399072074919	0.3529890126567667
u1_ESPRESSO	0.671127943578055	0.5750018625402529	0.45739823323389694
u2_ESPRESSO	-0.06387965047133397	0.44764475271039944	0.40914471985965256
e_p1	0.273798824512261	0.03407079779208394	0.035942208924960806
omega_p1	-165.56067764145038	9.169986313610792	7.8362224233786435
rho_star	2228.6157397800444	98.47117455229727	95.66758458725326
aRs_p1	16.050516949740288	0.23299622564464784	0.233035414014795
inc_p1	88.33601866218274	0.2895134463525153	0.19336517973619038
veq_star	1.3666940209294434	0.04704763160255143	0.045863868421143206
vsini_star	0.8407249630975737	0.3193303335345956	0.25854805314080176
psi_p1	80.93842834263228	7.956013567952908	8.623706375807657
