parameter	median	err_up	err_down
lam_p1	-77.03209015744359	16.338760271902217	14.457889778958574
vsini_star	0.7308501358570408	0.29232684454684843	0.2401207484696694
per_p1	5.924269682379076	9.189548082488841e-07	9.193369230331427e-07
t0_p1	2456870.9583054753	0.00026038940995931625	0.0002724253572523594
rho_star	2272.486753262333	132.48704095994208	133.92986096796358
b_p1	0.4588668032894663	0.05952897061959184	0.09570057851606156
p_p1	0.10051921039889013	0.001349529818961498	0.0017993432166383827
e_p1	0.2716585365302231	0.03565147324771323	0.0358090027052517
omega_p1	193.99305259393435	7.856240040268517	9.875578733072814
K_p1	18.591914895289154	2.4757094693338964	2.311541018619618
q1_TESSY1_TESSY2	0.3795183086213805	0.24603428718615916	0.1476220890806001
q2_TESSY1_TESSY2	0.2523566992315047	0.23061106401327008	0.15998952183422321
gamma_HARPS	-13010.461528732601	1.524819401129207	1.4975815281941323
q1_ESPRESSO	0.5743920601500855	0.29234383448625145	0.3396154949229938
q2_ESPRESSO	0.49747490012152323	0.34119800359829394	0.331038694513489
beta_ESPRESSO	5.226251120076047	1.9626704233639423	1.9073622708203666
gamma_ESPRESSO	-12999.329027724138	0.9095356339585123	0.489126656555527
sigma_TESSY1	0.0		
sigma_TESSY2	0.0		
sigma_HARPS	0.0		
sigma_ESPRESSO	0.0		
gammadot	0.0		
gammadotdot	0.0		
u1_TESSY1	0.31410558665388866	0.16913815015039746	0.1748231170570775
u2_TESSY1	0.3061878829129952	0.3280525027972458	0.28919820897891213
u1_TESSY2	0.31410558665388866	0.16913815015039746	0.1748231170570775
u2_TESSY2	0.3061878829129952	0.3280525027972458	0.28919820897891213
u1_ESPRESSO	0.646843750607105	0.5999277501559199	0.4459498607366612
u2_ESPRESSO	0.0026637852684641434	0.4621144225703546	0.46568823299883816
aRs_p1	16.155151340866336	0.30803950897855614	0.32381671076187857
inc_p1	88.36664530073503	0.291396919324427	0.1843938641575278
